title,year,duration,note,n_total,Genre,Director,Acteurs,Public,color,Descriptions
Behzat Ç.: Bir Ankara Polisiyesi,2010–2019,"TV Series,1,h, ,30,m",8.8,30K,"Crime,Drama,Mystery,Back to top",Erdal Besikçioglu,"Erdal Besikçioglu,Inanç Konukçu,Ege Aydan,Berkan Sal,Mustafa Balci,Ayça Eren,Fatih Artman,Seda Bakan,Eray Eserol,Berke Üzrek,Zeynep Koltuk,Canan Erguder,Hakan Hatipoglu,Elvin Besikcioglu,Nejat Isler,Güven Kiraç,Pelinsu Pir,Ayça Varlier",2010–2019,,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other crimes that happens on a weekly basis, the undertone of the story leads to an eventual duel between Behzat Ç. and the rotten department officials and bureaucrats."
This Is Us,2016–2022,"TV Series,45,m",8.7,145K,"Comedy,Drama,Romance,Back to top",Dan Fogelman,"Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz,Justin Hartley,Susan Kelechi Watson,Chris Sullivan,Eris Baker,Faithe Herman,Jon Huertas,Hannah Zeile,Niles Fitch,Logan Shroyer,Mackenzie Hancsicsak,Parker Bates,Lyric Ross,Lonnie Chavis,Caitlin Thompson",2016–2022,,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
The Jinx: The Life and Deaths of Robert Durst,2015,"TV Mini Series,4,h, ,39,m",8.6,47K,"Documentary,Biography,Crime,Back to top",Andrew Jarecki,"Andrew Jarecki,Robert Durst,Gary Napoli,Jeanine Pirro,Debra Kay Anderson,Dick DeGuerin,Michael Simon Hall,Kevin J. Hynes,Chelsea Gonzalez,Susan Berman,Marc Smerling,Charles Bagli,Jeszenia Jimenez,Cody Cazalas,Ellen Strauss,Sareb Kaufman,Gilberte Najamy,Eric Rizk",2015,,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes."
Dexter,2006–2013,"TV Series,53,m",8.7,726K,"Crime,Drama,Mystery,Back to top",James Manos Jr.,"Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar,C.S. Lee,Luna Lauren Velez,Desmond Harrington,Julie Benz,Christina Robinson,Geoff Pierson,Preston Bailey,Aimee Garcia,Luke Andrew Kruntchev,Erik King,Evan George Kruntchev,Dana L. Wilson,Yvonne Strahovski,David Ramsey",2006–2013,,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series."
Atlanta,2016–2022,"TV Series,30,m",8.6,74K,"Comedy,Drama,Music,Back to top",Donald Glover,"Donald Glover,Brian Tyree Henry,LaKeith Stanfield,Zazie Beetz,Khris Davis,RJ Walker,Harold House Moore,Matthew Barnes,Myra Lucretia Taylor,Tobias Segal,Austin Elle Fisher,Adriyan Rae,Katt Williams,Isiah Whitlock Jr.,Cranston Johnson,Griffin Freeman,Hugh Coles,Derrick J. Haywood",2016–2022,,"Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood."
The X-Files,1993–2018,"TV Series,45,m",8.6,227K,"Crime,Drama,Mystery,Back to top",Chris Carter,"David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis,Robert Patrick,Tom Braidwood,Bruce Harwood,Dean Haglund,Annabeth Gish,Nicholas Lea,James Pickens Jr.,Sheila Larken,Chris Owens,Don S. Williams,Steven Williams,Jerry Hardin,Laurie Holden,Rebecca Toolan",1993–2018,,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
Deadwood,2004–2006,"TV Series,55,m",8.6,108K,"Crime,Drama,History,Back to top",David Milch,"Timothy Olyphant,Ian McShane,Molly Parker,Brad Dourif,W. Earl Brown,John Hawkes,Paula Malcomson,Dayton Callie,Leon Rippy,William Sanderson,Robin Weigert,Sean Bridgers,Bree Seanna Wall,Jim Beaver,Jeffrey Jones,Kim Dickens,Powers Boothe,Titus Welliver",2004–2006,,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime."
1883,2021–2022,"TV Series,1,h",8.8,69K,"Drama,Western,Back to top",Taylor Sheridan,"Sam Elliott,Tim McGraw,Faith Hill,Isabel May,LaMonica Garrett,Marc Rissmann,Audie Rick,James Landry Hébert,Gratiela Brancusi,Anna Fiamora,Malcolm Stephenson,Amanda Jaros,Jordan Walker Ross,Stephen Austin Long,Konstantin Melikhov,Eric Nelsen,Noah Le Gros,Josef Bette",2021–2022,,Follows the Dutton family as they embark on a journey west.
Line of Duty,2012–2021,"TV Series,1,h",8.7,60K,"Crime,Drama,Mystery,Back to top",Jed Mercurio,"Martin Compston,Vicky McClure,Adrian Dunbar,Craig Parkinson,Gregory Piper,Aiysha Hart,Maya Sondhi,Keeley Hawes,Nigel Boyle,Polly Walker,Paul Higgins,Anneika Rose,Neil Morrissey,Tomi May,Ace Bhatti,Elizabeth Rider,Tony Pitts,Owen Teale",2012–2021,,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit."
Parks and Recreation,2009–2015,"TV Series,22,m",8.6,260K,"Comedy,Back to top",Greg Daniels,"Amy Poehler,Jim O'Heir,Nick Offerman,Chris Pratt,Aubrey Plaza,Aziz Ansari,Retta,Rashida Jones,Adam Scott,Rob Lowe,Jay Jackson,Paul Schneider,Ben Schwartz,Mo Collins,Yvans Jourdain,Jon Glaser,Billy Eichner,James Greene",2009–2015,,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
