title,year,duration,note,n_total,Genre,Director,Acteurs,Public,color,Descriptions
Stranger Things,2016– ,"TV Series,51,m",8.7,1.2M,"Drama,Fantasy,Horror,Back to top",Millie Bobby Brown,"Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour,Gaten Matarazzo,Caleb McLaughlin,Natalia Dyer,Charlie Heaton,Joe Keery,Noah Schnapp,Cara Buono,Priah Ferguson,Sadie Sink,Maya Hawke,Brett Gelman,Joe Chrest,Paul Reiser,Dacre Montgomery",2016– ,,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Gullak,2019– ,"TV Series,24,m",9.1,17K,"Comedy,Drama,Family,Back to top",Shreyansh Pandey,"Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta,Harsh Mayar,Shivankit Singh Parihar,Sunita Rajwar,Saad Bilgrami,Deepak Kumar Mishra,Akdas Hayat,Bilal Khan,Gaurav Sarathe,Sachin Chaudhary,Abhishake Jha,Amar Singh Parihar,Ashwini,Stuti Tiwari,Vishwanath Chatterjee,Ajay Pal",2019– ,,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family."
Battlestar Galactica,2004–2009,"TV Series,44,m",8.7,167K,"Action,Adventure,Drama,Back to top",Glen A. Larson,"Edward James Olmos,Mary McDonnell,Jamie Bamber,James Callis,Tricia Helfer,Grace Park,Katee Sackhoff,Michael Hogan,Aaron Douglas,Tahmoh Penikett,Alessandro Juliani,Kandyse McClure,Bodie Olmos,Donnelly Rhodes,Michael Trucco,Nicki Clyne,Leah Cairns,Rekha Sharma",2004–2009,,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth."
House,2004–2012,"TV Series,44,m",8.7,465K,"Drama,Mystery,Back to top",David Shore,"Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer,Lisa Edelstein,Bobbin Bergstrom,Jennifer Morrison,Peter Jacobson,Olivia Wilde,Kal Penn,Odette Annable,Charlyne Yi,Anne Dudek,Jennifer Crystal Foley,Amber Tamblyn,Liz Benoit,Stephanie Venditto,Sela Ward",2004–2012,,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
The Shield,2002–2008,"TV Series,47,m",8.7,81K,"Crime,Drama,Thriller,Back to top",Shawn Ryan,"Michael Chiklis,Jay Karnes,Michael Jace,CCH Pounder,Walton Goggins,Benito Martinez,Catherine Dent,Cathy Cahlin Ryan,David Rees Snell,Kenny Johnson,David Marciano,Autumn Chiklis,Paula Garcés,Michele Hicks,Melanie Myers,Joel Rosenthal,Matt Corboy,Chaney Kley",2002–2008,,Drama series following the lives and cases of dirty cop Vic Mackey and the LAPD unit under his command.
The Simpsons,1989– ,"TV Series,22,m",8.7,408K,"Animation,Comedy,Back to top",James L. Brooks,"Dan Castellaneta,Nancy Cartwright,Harry Shearer,Julie Kavner,Yeardley Smith,Hank Azaria,Pamela Hayden,Tress MacNeille,Maggie Roswell,Chris Edgerly,Karl Wiedergott,Russi Taylor,Marcia Wallace,Kevin Michael Richardson,Phil Hartman,Joe Mantegna,Alex Désert,Maurice LaMarche",1989– ,,The satiric adventures of a working-class family in the misfit city of Springfield.
Fleabag,2016–2019,"TV Series,27,m",8.7,158K,"Comedy,Drama,Back to top",Phoebe Waller-Bridge,"Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,Bill Paterson,Brett Gelman,Andrew Scott,Hugh Skinner,Ben Aldridge,Hugh Dennis,Jamie Demetriou,Kae Alexander,Anthony Welsh,Ray Fearon,Christian Hillborg,David Hargreaves,Angus Imrie,Christopher Colquhoun",2016–2019,,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
The Boys,2019– ,"TV Series,1,h",8.7,500K,"Action,Comedy,Crime,Back to top",Eric Kripke,"Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty,Jessie T. Usher,Laz Alonso,Chace Crawford,Tomer Capone,Karen Fukuhara,Nathan Mitchell,Dominique McElligott,Colby Minifie,Claudia Doumit,Nneka Elliott,Laila Robins,Aya Cash,Katy Breier,Elisabeth Shue",2019– ,,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
One Punch Man,2015–2019,"TV Series,24,m",8.7,160K,"Animation,Action,Comedy,Back to top",Makoto Furukawa,"Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,Hiromichi Tezuka,Robbie Daymond,Kyle Hebert,Shôta Yamamoto,Yôji Ueda,Sean Chiplock,Yoshiaki Hasegawa,Kirk Thornton,Shin'ya Hamazoe,Bill Rogers,Hikaru Midorikawa,Ben Lepley,Ben Pronsky,Koichi Soma",2015–2019,,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
Arrested Development,2003–2019,"TV Series,22,m",8.7,305K,"Comedy,Back to top",Mitchell Hurwitz,"Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett,Alia Shawkat,Tony Hale,David Cross,Jeffrey Tambor,Jessica Walter,Ron Howard,Henry Winkler,John Beard,Liza Minnelli,Mae Whitman,Justin Grant Wade,Ed Begley Jr.,Isla Fisher,Maria Bamford",2003–2019,,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Dark,2017–2020,"TV Series,1,h",8.7,387K,"Crime,Drama,Mystery,Back to top",Baran bo Odar,"Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,Jördis Triebel,Andreas Pietschmann,Stephan Kampwirth,Paul Lux,Oliver Masucci,Moritz Jahn,Peter Benedict,Gina Stiebitz,Deborah Kaufmann,Daan Lennard Liebrenz,Julika Jenkins,Carlotta von Falkenhayn,Dietrich Hollinderbäumer,Mark Waschke",2017–2020,,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Steins;Gate,2011–2015,"TV Series,24,m",8.8,63K,"Animation,Comedy,Drama,Back to top",Mamoru Miyano,"Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch,J. Michael Tatum,Trina Nishimura,Tomokazu Seki,Tyson Rinehart,Cherami Leigh,Yukari Tamura,Saori Gotô,Yû Kobayashi,Masaki Terasoma,Jessica Cavanagh,Christopher Sabat,Lindsay Seidel,Haruko Momoi,Ayano Yamamoto",2011–2015,,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Kota Factory,2019–2021,"TV Series,45,m",9.1,72K,"Comedy,Drama,Back to top",Saurabh Khanna,"Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Revathi Pillai,Urvi Singh,Harish Peddinti,Ahsaas Channa,Sameer Saxena,Vaibhav Thakkar,Arun Kumar,Akdas Hayat,Abhishake Jha,Sachin Vidrohi,Jyoti Gauba,Rajesh Kumar,Abhaya Sharma,Jaiti Khera",2019–2021,,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives."
The Mandalorian,2019– ,"TV Series,40,m",8.7,478K,"Action,Adventure,Fantasy,Back to top",Jon Favreau,"Pedro Pascal,Carl Weathers,Giancarlo Esposito,Chris Bartlett,Barry Lowin,Gina Carano,Leilani Shiu,Misty Rosas,Omid Abtahi,Temuera Morrison,Ming-Na Wen,Katy M. O'Brian,Rio Hackford,Amy Sedaris,Emily Swallow,Nick Nolte,Werner Herzog,Taika Waititi",2019– ,,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
Over the Garden Wall,2014,"TV Mini Series,22,m",8.8,57K,"Animation,Short,Adventure,Back to top",Katie Krentz,"Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloyd,Samuel Ramey,Jack Jones,John Cleese,Emily Brundige,Shirley Jones,Fred Stoller,Cole Sanchez,Sam Marin,Chris Isaak,Janet Klein,Tim Curry,Bebe Neuwirth,Noureen DeWulf,Deborah Voigt",2014,,Two brothers find themselves lost in a mysterious land and try to find their way home.
Oz,1997–2003,"TV Series,55,m",8.7,100K,"Crime,Drama,Thriller,Back to top",Tom Fontana,"Ernie Hudson,J.K. Simmons,Lee Tergesen,Dean Winters,George Morfogen,Terry Kinney,Rita Moreno,Harold Perrineau,Eamonn Walker,Craig muMs Grant,Luna Lauren Velez,Granville Adams,Tom Mardirosian,Kirk Acevedo,BD Wong,Chuck Zito,Philip Scozzarella,Scott William Winters",1997–2003,,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.
Ted Lasso,2020– ,"TV Series,30,m",8.8,214K,"Comedy,Drama,Sport,Back to top",Brendan Hunt,"Jason Sudeikis,Brett Goldstein,Brendan Hunt,Nick Mohammed,Hannah Waddingham,Jeremy Swift,Phil Dunster,Juno Temple,Toheeb Jimoh,Kola Bokinni,Billy Harris,Stephen Manas,Cristo Fernández,Moe Jeudy-Lamour,Annette Badland,Adam Colborne,Bronson Webb,Kevin Garry",2020– ,,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team."
Peaky Blinders,2013–2022,"TV Series,1,h",8.8,547K,"Crime,Drama,Back to top",Steven Knight,"Cillian Murphy,Paul Anderson,Sophie Rundle,Helen McCrory,Ned Dennehy,Finn Cole,Natasha O'Keeffe,Ian Peck,Harry Kirton,Packy Lee,Joe Cole,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Benjamin Zephaniah,Tom Hardy,Jordan Bolger",2013–2022,,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
Rome,2005–2007,"TV Series,52,m",8.7,173K,"Action,Drama,Romance,Back to top",Bruno Heller,"Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,James Purefoy,Ian McNeice,Coral Amiga,Lindsay Duncan,Lidia Biondi,Tobias Menzies,Nicholas Woodeson,David Bamber,Chiara Mastalli,Manfredi Aliquo,Indira Varma,Suzanne Bertish,Max Pirkis,Lee Boardman",2005–2007,,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.
Six Feet Under,2001–2005,"TV Series,1,h",8.7,136K,"Comedy,Drama,Back to top",Alan Ball,"Peter Krause,Michael C. Hall,Frances Conroy,Lauren Ambrose,Freddy Rodríguez,Mathew St. Patrick,Rachel Griffiths,Justina Machado,Jeremy Sisto,Brenna Tosh,Bronwyn Tosh,James Cromwell,Lili Taylor,Ben Foster,Joanna Cassidy,Richard Jenkins,Giancarlo Rodriguez,Ed O'Ross",2001–2005,,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.
South Park,1997– ,"TV Series,22,m",8.7,370K,"Animation,Comedy,Back to top",Trey Parker,"Trey Parker,Matt Stone,Isaac Hayes,Mona Marshall,April Stewart,Adrien Beard,Eliza Schneider,Jennifer Howell,Jessica Makinson,Mary Kay Bergman,Omaira Coromoto Rivero,Betty Boogie Parker,Vernon Chatman,Kyle McCulloch,John 'Nancy' Hansen,Elisa Gabrielli,Jonathan Kimmel,Milan Agnone",1997– ,,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
Dragon Ball Z,1989–1996,"TV Series,24,m",8.8,80K,"Animation,Action,Adventure,Back to top",Jôji Yanami,"Jôji Yanami,Kyle Hebert,Masako Nozawa,Sean Schemmel,Christopher Sabat,Mayumi Tanaka,Sonny Strait,Stephanie Nadolny,Toshio Furukawa,Ryô Horikawa,Hiromi Tsuru,Tiffany Vollmer,Mike McFarland,Cynthia Cranz,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Kusao,Tôru Furuya",1989–1996,,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies."
One Piece,1999– ,"TV Series,24,m",8.9,126K,"Animation,Action,Adventure,Back to top",Eiichirô Oda,"Mayumi Tanaka,Laurent Vernin,Tony Beck,Akemi Okamura,Kappei Yamaguchi,Kazuya Nakai,Hiroaki Hirata,Ikue Ôtani,Colleen Clinkenbeard,Yuriko Yamaguchi,Mahito Ôba,Kazuki Yao,Chikao Ôtsuka,Luci Christian,Christopher Sabat,Sonny Strait,Eric Vale,Chô",1999– ,,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece""."
"I, Claudius",1976,"TV Mini Series,11,h, ,9,m",8.9,18K,"Biography,Drama,History,Back to top",Derek Jacobi,"Derek Jacobi,John Hurt,Siân Phillips,Brian Blessed,George Baker,Margaret Tyzack,James Faulkner,Patricia Quinn,Patrick Stewart,Fiona Walker,Kevin McNally,Sheila White,Bernard Hepton,John Cater,Frances White,David Robb,Freda Dowie,Roger Bizley",1976,,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers."
Dragon Ball Z,1989–1996,"TV Series,24,m",8.8,132K,"Animation,Action,Adventure,Back to top",Doc Harris,"Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,Terry Klassen,Brian Drummond,Sonny Strait,Stephanie Nadolny,Don Brown,Tiffany Vollmer,Dale Kelly,Cathy Weseluck,Kyle Hebert,Michael Dobson,Kirby Morrow,Jillian Michaels,Ted Cole,Cynthia Cranz",1989–1996,,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
Chappelle's Show,2003–2006,"TV Series,22,m",8.8,65K,"Comedy,Music,Back to top",Neal Brennan,"Dave Chappelle,Donnell Rawlings,Rudy Rush,Charlie Murphy,Neal Brennan,Yasiin Bey,Randy Pearlstein,Melle Powers,Greer Barnes,Blaire Reinhard,Yoshio Mita,Paul Mooney,Guillermo Diaz,William Bogert,Sophina Brown,Questlove,Bryan Olsen,Bill Burr",2003–2006,,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Succession,2018– ,"TV Series,1,h",8.8,149K,"Drama,Back to top",Jesse Armstrong,"Nicholas Braun,Peter Friedman,Matthew Macfadyen,Brian Cox,Kieran Culkin,Alan Ruck,Sarah Snook,Jeremy Strong,J. Smith-Cameron,Scott Nicholson,Hiam Abbass,Dagmara Dominczyk,Justine Lupe,Arian Moayed,David Rasche,Rob Yang,Juliana Canfield,Fisher Stevens",2018– ,,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
BoJack Horseman,2014–2020,"TV Series,25,m",8.8,158K,"Animation,Comedy,Drama,Back to top",Raphael Bob-Waksberg,"Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,Paul F. Tompkins,Adam Conover,Keith Olbermann,Diedrich Bader,Kristen Schaal,Patton Oswalt,Raphael Bob-Waksberg,Aparna Nancherla,J.K. Simmons,Stanley Tucci,Wendie Malick,Angela Bassett,Rami Malek,Stephanie Beatriz",2014–2020,,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
Narcos,2015–2017,"TV Series,49,m",8.8,422K,"Biography,Crime,Drama,Back to top",Carlo Bernard,"Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann,Paulina Gaitan,Juan Murcia,Jorge Monterrosa,Damián Alcázar,Francisco Denis,Raúl Méndez,Juan Sebastián Calero,Paulina García,Diego Cataño,Brett Cullen,Julián Díaz,Joanna Christie,Maurice Compte,María José Sanchez Real",2015–2017,,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
As If,2021– ,"TV Series,30,m",9.0,14K,"Comedy,Back to top",Feyyaz Yigit,"Feyyaz Yigit,Kivanç Kilinç,Ahmet Kürsat Öçalan,Ezgi Ay,Ümran Sakir,Celal Öztürk,Burcu Oktav,Özer Arslan,Eray Sel,Ozan Elatunterin,Burak Gunes,Ferda Isil,Mustafa Erkan,Rasim Can Günes,Kerem Akti,Deniz Goktas,Ertan Ekmekci,Eray Sargin",2021– ,,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.
Twin Peaks,1990–1991,"TV Series,47,m",8.8,198K,"Crime,Drama,Mystery,Back to top",Mark Frost,"Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,Richard Beymer,Lara Flynn Boyle,Sherilyn Fenn,Warren Frost,Peggy Lipton,James Marshall,Everett McGill,Jack Nance,Joan Chen,Kimmy Robertson,Michael Horse,Piper Laurie,Harry Goaz,Eric DaRe",1990–1991,,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.
Black Mirror,2011–2019,"TV Series,1,h",8.8,546K,"Drama,Mystery,Sci-Fi,Back to top",Charlie Brooker,"Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,Charles Babalola,Aaron Paul,Anjana Vasan,Daniel Kaluuya,Toby Kebbell,Rory Kinnear,Hayley Atwell,Lenora Crichlow,Daniel Rigby,Jon Hamm,Bryce Dallas Howard,Kelly Macdonald,Alex Lawther,Gugu Mbatha-Raw",2011–2019,,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Freaks and Geeks,1999–2000,"TV Series,44,m",8.8,144K,"Comedy,Drama,Back to top",Paul Feig,"Linda Cardellini,John Francis Daley,James Franco,Samm Levine,Seth Rogen,Jason Segel,Martin Starr,Becky Ann Baker,Joe Flaherty,Busy Philipps,Jerome Elston Scott,Steve Bannos,Dave Allen,Sarah Hagan,Jerry Messing,Natasha Melnick,Stephen Lea Sheppard,Chauncey Leopardi",1999–2000,,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Blackadder Goes Forth,1989,"TV Series,2,h, ,55,m",8.8,53K,"Comedy,War,Back to top",Rowan Atkinson,"Rowan Atkinson,Tony Robinson,Stephen Fry,Hugh Laurie,Tim McInnerny,Gabrielle Glaister,Miranda Richardson,Rik Mayall,Geoffrey Palmer,Jeremy Hardy,Adrian Edmondson,Stephen Frost,Bill Wallis,Hugo Blick,Lee Cornes,Paul Mark Elliott,Jeremy Gittins,Russell Brook",1989,,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war."
Leyla and Mecnun,2011–2023,"TV Series,1,h, ,20,m",9.1,94K,"Adventure,Comedy,Drama,Back to top",Ali Atay,"Ali Atay,Serkan Keskin,Osman Sonant,Ahmet Mümtaz Taylan,Cengiz Bozkurt,Köksal Engür,Ege Tanman,Nalan Kuruçim,Engin Günay,Neslihan Aker,Istar Gökseven,Sebahat Adalar,Güliz Gençoglu,Safak Pekdemir,Sarp Aydinoglu,Mustafa Asik,Mehmet Usta,Onursal Yildirim",2011–2023,,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Pride and Prejudice,1995,"TV Mini Series,5,h, ,27,m",8.8,86K,"Drama,Romance,Back to top",Colin Firth,"Colin Firth,Jennifer Ehle,Susannah Harker,Julia Sawalha,Alison Steadman,Benjamin Whitrow,Crispin Bonham-Carter,Polly Maberly,Lucy Briers,Anna Chancellor,Lucy Robinson,Adrian Lukis,David Bamber,Lucy Scott,Lucy Davis,Emilia Fox,Marlene Sidaway,Barbara Leigh-Hunt",1995,,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy."
The West Wing,1999–2006,"TV Series,44,m",8.9,77K,"Drama,Back to top",Aaron Sorkin,"Martin Sheen,Rob Lowe,Allison Janney,John Spencer,Bradley Whitford,Janel Moloney,Richard Schiff,Dulé Hill,NiCole Robinson,Melissa Fitzgerald,Joshua Malina,Stockard Channing,Kim Webster,Kris Murphy,Timothy Davis-Reed,Mary McCormack,William Duffy,Peter James Smith",1999–2006,,Inside the lives of staffers in the West Wing of the White House.
Fawlty Towers,1975–1979,"TV Series,30,m",8.8,94K,"Comedy,Back to top",John Cleese,"John Cleese,Prunella Scales,Andrew Sachs,Connie Booth,Ballard Berkeley,Gilly Flower,Renee Roberts,Brian Hall,Terence Conoley,Elizabeth Benson,George Lee,Bernard Cribbins,Michael Gwynn,André Maranne,Geoffrey Palmer,Nicky Henson,Bruce Boa,Ken Campbell",1975–1979,,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away."
Taskmaster,2015– ,"TV Series,47,m",9.0,13K,"Comedy,Game-Show,Back to top",Greg Davies,"Greg Davies,Alex Horne,Kerry Godliman,Richard Herring,Lou Sanders,Ed Gamble,Alan Davies,Liza Tarbuck,James Acaster,Asim Chaudhry,David Baddiel,Sian Gibson,Daisy May Cooper,Desiree Burch,Sarah Kendall,Fern Brady,Bridget Christie,Frankie Boyle",2015– ,,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
Curb Your Enthusiasm,2000– ,"TV Series,28,m",8.8,129K,"Comedy,Back to top",Larry David,"Larry David,Cheryl Hines,Jeff Garlin,Susie Essman,J.B. Smoove,Richard Lewis,Ted Danson,Bob Einstein,Ashly Holloway,Shelley Berman,Antoinette Spolar,Vivica A. Fox,Carla Jeffery,Nick Nervies,Ann Ryerson,Wanda Sykes,Ellia English,Julia Louis-Dreyfus",2000– ,,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.
It's Always Sunny in Philadelphia,2005– ,"TV Series,22,m",8.8,226K,"Comedy,Back to top",Rob McElhenney,"Charlie Day,Rob McElhenney,Kaitlin Olson,Glenn Howerton,Danny DeVito,Mary Elizabeth Ellis,David Hornsby,Artemis Pebdani,Lynne Marie Stewart,Sandy Martin,David Zdunich,Lance Barber,Andrew Friedman,Gregory Scott Cummins,Jimmi Simpson,Nate Mooney,Michael Naughton,Catherine Reitman",2005– ,,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
Africa,2013,"TV Mini Series,6,h",9.0,16K,"Documentary,Back to top",David Attenborough,"David Attenborough,Simon Blakeney,Bill Rudolph,Mark Deeble,Mike Fox,Justin Maguire,Matthew Wright,Justine Evans,Hugh Pearson,Martyn Colbeck,Mark MacEwen,Warwick Sloss,James Aldred,Soila Sayialel,Kate Broome,Paul Brehem,Kevin Flay,Matthew Mutinda",2013,,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife."
Apocalypse: The Second World War,2009,"TV Mini Series,5,h, ,12,m",9.0,13K,"Documentary,History,War,Back to top",Mathieu Kassovitz,"Mathieu Kassovitz,Martin Sheen,Rudolf Hess",2009,,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures."
Das Boot,1985,"TV Mini Series,4,h, ,53,m",8.9,31K,"Drama,War,Back to top",Jürgen Prochnow,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Martin Hemme",1985,,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.
Monty Python's Flying Circus,1969–1974,"TV Series,30,m",8.8,75K,"Comedy,Back to top",Graham Chapman,"Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,Carol Cleveland,John Hughman,Monty Python,Ian Davidson,The Fred Tomlinson Singers,Frank Lester,Bob Raymond,Connie Booth,Lyn Ashley,Rita Davies,Maureen Flanagan,Peter Brett",1969–1974,,The original surreal sketch comedy showcase for the Monty Python troupe.
TVF Pitchers,2015–2022,"TV Mini Series,40,m",9.1,68K,"Comedy,Drama,Back to top",Arunabh Kumar,"Naveen Kasturia,Arunabh Kumar,Jitendra Kumar,Abhay Mahajan,Akanksha Thakur,Maanvi Gagroo,Gopal Datt,Jaimini Pathak,Rajesh Sharma,Pranav Bhasin,Suneel Sinha,Biswapati Sarkar,Arnav Bhasin,Aditi Singh,Natasha Azad,Manjiri Pupala,Abhishek Banerjee,Manuj Sharma",2015–2022,,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.
Friends,1994–2004,"TV Series,22,m",8.9,994K,"Comedy,Romance,Back to top",David Crane,"Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,Matthew Perry,David Schwimmer,James Michael Tyler,Elliott Gould,Christina Pickles,Maggie Wheeler,Paul Rudd,Jane Sibbett,Helen Baxendale,Jessica Hecht,June Gable,Tom Selleck,Aisha Tyler,Giovanni Ribisi",1994–2004,,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.
Last Week Tonight with John Oliver,2014– ,"TV Series,30,m",8.9,89K,"Comedy,History,News,Back to top",John Oliver,"John Oliver,David Kaye,Ryan Barger,Noel MacNeal,Alberto Bonilla,H. Jon Benjamin,Susan Evans,James Wojtal,Gilbert Gottfried,Kyle Ploof,Paul McGinnis,Rachel Dratch,Michael Torpey,George Clooney,Moujan Zolfaghari,Alex Webb,Thomas Kopache,Stephanie D'Abruzzo",2014– ,,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.
When They See Us,2019,"TV Mini Series,4,h, ,56,m",8.9,122K,"Biography,Crime,Drama,Back to top",Ava DuVernay,"Asante Blackk,Caleel Harris,Ethan Herisse,Marquis Rodriguez,Marsha Stephanie Blake,Kylie Bunbury,John Leguizamo,Niecy Nash,Suzzanne Douglas,Michael Kenneth Williams,Jharrel Jerome,Aunjanue Ellis,Felicity Huffman,Len Cariou,William Sadler,Adepero Oduye,Alexandra Templer,Denia Brache",2019,,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.
Gravity Falls,2012–2016,"TV Series,23,m",8.9,109K,"Animation,Action,Adventure,Back to top",Alex Hirsch,"Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini,Kevin Michael Richardson,Matt Chapman,Kari Wahlgren,John DiMaggio,Keith Ferguson,Jennifer Coolidge,Gregg Turkington,Carl Faruolo,Niki Yang,Will Forte,Dee Bradley Baker,T.J. Miller,Grey Griffin,Thurop Van Orman",2012–2016,,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Nathan for You,2013–2017,"TV Series,30,m",8.9,31K,"Documentary,Comedy,Back to top",Nathan Fielder,"Nathan Fielder,Anthony Filosa,Salomon Flores,William Heath,Brian S. Wolfe,Simon Kellog,James Bailey,Tony Napoli,Sue Stanford,Cornelius Ladd,Kyle Heitz,Billy Smalling,Marcos Mateo Ochoa,Andy Farshidian,Jason Stone,Corey Calderwood,H. Jon Benjamin,Jennifer Anderton",2013–2017,,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
